iter	Passed	Remaining
237	930	2980
238	934	2975
239	938	2971
240	941	2963
241	945	2962
242	948	2955
243	951	2948
244	954	2941
245	957	2934
246	962	2934
247	965	2927
248	968	2919
249	971	2913
250	973	2905
251	978	2905
252	981	2897
253	984	2890
254	988	2886
255	993	2886
256	996	2880
257	1000	2876
258	1004	2874
259	1012	2880
260	1015	2875
261	1019	2870
262	1021	2863
263	1027	2865
264	1032	2862
265	1035	2857
266	1038	2851
267	1043	2850
268	1046	2844
269	1049	2836
270	1052	2830
271	1055	2824
272	1060	2822
273	1062	2815
274	1065	2809
275	1068	2803
276	1072	2799
277	1076	2795
278	1079	2788
279	1081	2782
280	1085	2778
281	1092	2781
282	1096	2776
283	1100	2773
284	1109	2782
285	1118	2791
286	1125	2795
287	1129	2791
288	1134	2792
289	1143	2798
290	1148	2798
291	1151	2792
292	1160	2800
293	1165	2798
294	1168	2791
295	1176	2798
296	1180	2795
297	1183	2789
298	1191	2794
299	1195	2789
300	1198	2784
301	1202	2778
302	1207	2776
303	1208	2767
304	1211	2760
305	1214	2754
306	1217	2747
307	1224	2751
308	1229	2748
309	1232	2742
310	1237	2741
311	1242	2738
312	1245	2733
313	1248	2727
314	1253	2726
315	1257	2721
316	1260	2716
317	1263	2710
318	1268	2707
319	1273	2706
320	1278	2703
321	1281	2697
322	1288	2700
323	1291	2695
324	1294	2689
325	1297	2682
326	1303	2683
327	1306	2677
328	1309	2670
329	1312	2665
330	1317	2662
331	1320	2657
332	1324	2652
333	1327	2646
334	1330	2640
335	1337	2643
336	1342	2640
337	1345	2634
338	1352	2637
339	1356	2633
340	1359	2627
341	1362	2621
342	1370	2625
343	1374	2621
344	1377	2615
345	1383	2614
346	1389	2615
347	1394	2611
348	1402	2615
349	1406	2611
350	1409	2606
351	1419	2613
352	1424	2610
353	1429	2609
354	1436	2609
355	1440	2606
356	1443	2600
357	1452	2605
358	1456	2601
359	1459	2595
360	1467	2597
361	1470	2592
362	1473	2586
363	1478	2583
364	1484	2582
365	1488	2578
366	1491	2573
367	1500	2576
368	1503	2571
369	1507	2566
370	1518	2574
371	1523	2571
372	1529	2571
373	1534	2568
374	1539	2565
375	1545	2564
376	1549	2561
377	1552	2555
378	1556	2549
379	1563	2551
380	1567	2547
381	1571	2542
382	1578	2543
383	1582	2538
384	1586	2533
385	1589	2527
386	1597	2529
387	1601	2525
388	1605	2521
389	1613	2523
390	1616	2518
391	1620	2513
392	1627	2513
393	1631	2509
394	1635	2505
395	1640	2501
396	1646	2500
397	1650	2496
398	1655	2494
399	1661	2492
400	1665	2488
401	1668	2482
402	1677	2484
403	1681	2480
404	1684	2474
405	1693	2477
406	1696	2471
407	1699	2465
408	1706	2466
409	1712	2463
410	1715	2457
411	1721	2457
412	1726	2453
413	1729	2448
414	1734	2444
415	1741	2444
416	1745	2440
417	1753	2441
418	1757	2436
419	1760	2431
420	1767	2430
421	1770	2425
422	1773	2419
423	1776	2413
424	1781	2410
425	1786	2407
426	1790	2403
427	1793	2397
428	1801	2397
429	1805	2392
430	1808	2387
431	1812	2383
432	1817	2379
433	1819	2373
434	1822	2367
435	1825	2361
436	1832	2360
437	1836	2356
438	1840	2351
439	1842	2345
440	1848	2342
441	1851	2337
442	1854	2331
443	1855	2324
444	1859	2318
445	1864	2315
446	1867	2309
447	1870	2304
448	1873	2298
449	1878	2295
450	1881	2290
451	1884	2285
452	1886	2278
453	1890	2273
454	1894	2269
455	1900	2266
456	1904	2262
457	1906	2256
458	1912	2254
459	1915	2249
460	1919	2243
461	1922	2238
462	1926	2234
463	1931	2231
464	1936	2228
465	1943	2227
466	1947	2222
467	1950	2217
468	1953	2212
469	1958	2209
470	1962	2204
471	1965	2199
472	1968	2193
473	1972	2189
474	1977	2185
475	1979	2179
476	1982	2174
477	1986	2168
478	1991	2165
479	1994	2160
480	1997	2155
481	2000	2149
482	2003	2144
483	2008	2141
484	2011	2135
485	2014	2130
486	2017	2125
487	2022	2121
488	2026	2118
489	2030	2113
490	2034	2108
491	2039	2105
492	2043	2101
493	2046	2095
494	2051	2092
495	2056	2090
496	2060	2085
497	2063	2079
498	2066	2074
499	2071	2071
500	2075	2067
501	2078	2061
502	2081	2056
503	2085	2052
504	2089	2048
505	2092	2042
506	2095	2037
507	2098	2032
508	2103	2029
509	2107	2025
510	2111	2020
511	2115	2016
512	2120	2012
513	2123	2007
514	2126	2002
515	2129	1997
516	2132	1992
517	2139	1990
518	2142	1986
519	2145	1980
520	2151	1977
521	2155	1973
522	2157	1967
523	2160	1962
524	2163	1957
525	2169	1954
526	2171	1949
527	2175	1944
528	2178	1939
529	2181	1934
530	2186	1930
531	2189	1926
532	2192	1920
533	2195	1915
534	2199	1911
535	2203	1907
536	2206	1902
537	2208	1896
538	2212	1891
539	2217	1888
540	2220	1883
541	2223	1879
542	2226	1873
543	2230	1869
544	2236	1866
545	2239	1862
546	2243	1857
547	2246	1853
548	2251	1849
549	2254	1844
550	2257	1839
551	2260	1834
552	2265	1831
553	2269	1826
554	2272	1821
555	2275	1817
556	2278	1811
557	2283	1808
558	2286	1804
559	2292	1800
560	2298	1798
561	2302	1794
562	2305	1789
563	2309	1785
564	2314	1782
565	2317	1777
566	2320	1772
567	2323	1767
568	2326	1762
569	2333	1760
570	2338	1757
571	2341	1752
572	2347	1749
573	2350	1744
574	2353	1739
575	2356	1734
576	2359	1729
577	2366	1727
578	2371	1724
579	2376	1721
580	2382	1717
581	2385	1713
582	2388	1708
583	2393	1704
584	2397	1700
585	2400	1695
586	2403	1690
587	2406	1685
588	2412	1683
589	2415	1678
590	2418	1673
591	2421	1668
592	2426	1665
593	2429	1660
594	2432	1655
595	2436	1651
596	2439	1646
597	2445	1644
598	2449	1639
599	2453	1635
600	2459	1632
601	2462	1627
602	2465	1622
603	2468	1618
604	2471	1613
605	2476	1610
606	2479	1605
607	2482	1600
608	2485	1595
609	2489	1591
610	2492	1587
611	2495	1582
612	2498	1577
613	2502	1572
614	2507	1569
615	2510	1564
616	2513	1560
617	2516	1555
618	2518	1550
619	2524	1547
620	2527	1542
621	2530	1537
622	2533	1533
623	2537	1529
624	2542	1525
625	2545	1520
626	2548	1516
627	2552	1512
628	2556	1508
629	2559	1503
630	2563	1498
631	2566	1494
632	2571	1490
633	2574	1486
634	2577	1481
635	2580	1476
636	2583	1472
637	2588	1468
638	2591	1464
639	2594	1459
640	2597	1454
641	2599	1449
642	2604	1446
643	2606	1440
644	2609	1436
645	2612	1431
646	2615	1427
647	2620	1423
648	2623	1418
649	2626	1414
650	2629	1409
651	2635	1406
652	2638	1402
653	2642	1398
654	2645	1393
655	2649	1389
656	2654	1385
657	2657	1381
658	2660	1376
659	2663	1371
660	2668	1368
661	2671	1363
662	2674	1359
663	2677	1354
664	2680	1350
665	2686	1347
666	2691	1343
667	2694	1339
668	2697	1334
669	2702	1331
670	2705	1326
671	2708	1321
672	2711	1317
673	2716	1313
674	2719	1309
675	2722	1304
676	2725	1300
677	2729	1296
678	2733	1292
679	2736	1287
680	2741	1284
681	2745	1280
682	2754	1278
683	2758	1274
684	2765	1271
685	2769	1267
686	2774	1264
687	2780	1260
688	2784	1256
689	2788	1252
690	2792	1248
691	2799	1246
692	2804	1242
693	2810	1239
694	2816	1236
695	2822	1232
696	2832	1231
697	2839	1228
698	2850	1227
699	2854	1223
700	2860	1220
701	2863	1215
702	2866	1210
703	2869	1206
704	2872	1201
705	2877	1198
706	2880	1193
707	2883	1189
708	2886	1184
709	2889	1180
710	2894	1176
711	2897	1171
712	2900	1167
713	2903	1162
714	2907	1159
715	2910	1154
716	2915	1150
717	2919	1146
718	2926	1143
719	2930	1139
720	2934	1135
721	2940	1132
722	2946	1128
723	2950	1124
724	2957	1121
725	2961	1117
726	2965	1113
727	2969	1109
728	2976	1106
729	2982	1103
730	2990	1100
731	2998	1097
732	3006	1094
733	3012	1091
734	3019	1088
735	3026	1085
736	3029	1081
737	3032	1076
738	3038	1073
739	3042	1068
740	3046	1064
741	3048	1060
742	3054	1056
743	3057	1052
744	3060	1047
745	3065	1043
746	3068	1039
747	3071	1034
748	3075	1030
749	3082	1027
750	3088	1023
751	3091	1019
752	3095	1015
753	3099	1011
754	3102	1006
755	3105	1002
756	3108	997
757	3112	993
758	3116	989
759	3119	985
760	3122	980
761	3125	976
762	3130	972
763	3133	967
764	3136	963
765	3139	959
766	3142	954
767	3148	951
768	3152	947
769	3155	942
770	3158	938
771	3163	934
772	3166	929
773	3170	925
774	3173	921
775	3179	917
776	3182	913
777	3185	908
778	3188	904
779	3191	900
780	3196	896
781	3199	891
782	3202	887
783	3205	883
784	3208	878
785	3212	874
786	3216	870
787	3219	866
788	3222	861
789	3227	857
790	3230	853
791	3233	849
792	3237	845
793	3240	840
794	3246	837
795	3250	833
796	3253	828
797	3257	824
798	3261	820
799	3264	816
800	3267	811
801	3270	807
802	3275	803
803	3278	799
804	3282	795
805	3284	790
806	3288	786
807	3293	782
808	3296	778
809	3299	773
810	3302	769
811	3306	765
812	3310	761
813	3313	757
814	3316	752
815	3319	748
816	3325	744
817	3329	740
818	3331	736
819	3334	732
820	3341	728
821	3347	724
822	3350	720
823	3353	716
824	3358	712
825	3361	708
826	3364	703
827	3368	699
828	3373	695
829	3376	691
830	3379	687
831	3382	682
832	3385	678
833	3390	674
834	3393	670
835	3396	666
836	3399	662
837	3405	658
838	3408	654
839	3411	649
840	3414	645
841	3417	641
842	3422	637
843	3425	633
844	3428	628
845	3431	624
846	3437	620
847	3442	617
848	3446	613
849	3451	609
850	3456	605
851	3460	601
852	3464	597
853	3471	593
854	3475	589
855	3485	586
856	3490	582
857	3494	578
858	3499	574
859	3507	570
860	3513	567
861	3523	564
862	3529	560
863	3538	557
864	3547	553
865	3556	550
866	3560	546
867	3563	541
868	3569	538
869	3571	533
870	3574	529
871	3577	525
872	3582	521
873	3585	516
874	3588	512
875	3591	508
876	3594	504
877	3599	500
878	3602	495
879	3605	491
880	3608	487
881	3611	483
882	3617	479
883	3620	475
884	3622	470
885	3625	466
886	3630	462
887	3634	458
888	3637	454
889	3640	449
890	3642	445
891	3649	441
892	3653	437
893	3656	433
894	3659	429
895	3664	425
896	3667	421
897	3670	416
898	3673	412
899	3677	408
900	3681	404
901	3684	400
902	3687	396
903	3690	391
904	3694	387
905	3698	383
906	3702	379
907	3706	375
908	3710	371
909	3714	367
910	3717	363
911	3720	358
912	3723	354
913	3728	350
914	3731	346
915	3734	342
916	3737	338
917	3740	334
918	3745	330
919	3748	325
920	3751	321
921	3754	317
922	3758	313
923	3764	309
924	3767	305
925	3770	301
926	3775	297
927	3778	293
928	3781	289
929	3784	284
930	3787	280
931	3792	276
932	3795	272
933	3798	268
934	3801	264
935	3805	260
936	3810	256
937	3813	252
938	3816	247
939	3819	243
940	3823	239
941	3826	235
942	3829	231
943	3832	227
944	3835	223
945	3840	219
946	3843	215
947	3846	211
948	3849	206
949	3852	202
950	3859	198
951	3863	194
952	3866	190
953	3869	186
954	3874	182
955	3877	178
956	3880	174
957	3883	170
958	3891	166
959	3895	162
960	3897	158
961	3900	154
962	3906	150
963	3910	146
964	3912	141
965	3916	137
966	3919	133
967	3923	129
968	3926	125
969	3929	121
970	3932	117
971	3936	113
972	3940	109
973	3943	105
974	3946	101
975	3949	97
976	3956	93
977	3959	89
978	3963	85
979	3966	80
980	3971	76
981	3975	72
982	3978	68
983	3981	64
984	3986	60
985	3992	56
986	3995	52
987	3998	48
988	4003	44
989	4006	40
990	4009	36
991	4012	32
992	4015	28
993	4019	24
994	4023	20
995	4025	16
996	4029	12
997	4033	8
998	4037	4
999	4039	0
